osc,initial_description,transition_description,finished_description
rolling_dough,"Initial state: a pale, cream-colored dough lump, roughly round or irregular, fist-sized, resting on a lightly floured surface. It feels soft, elastic, and slightly tacky, with a few surface creases and flour dusting. The dough is cohesive but malleable. The beginner’s action: placing the lump on the board, dusting hands and top with flour, and gently patting or pressing to loosen edges, starting to flatten it.","In-progress dough shows a transitioning surface being flattened. Shape is evolving from a puck to a round or oblong sheet; edges may taper as thickness evens. Color is pale beige with a light flour dusting and a subtle sheen. Texture ranges from tacky-soft to smooth and springy, with visible fingerprints or slight compressions. The baker uses a rolling pin with steady downward pressure, rotating dough between passes to maintain uniform thickness.","End state: a uniformly rolled dough sheet or disk with even thickness, clean trimmed edges, light flour dusting, pale beige color, smooth and pliable surface, slight sheen, and no cracks. Post-rolling actions: the person inspects and trims edges, cuts shapes or portions, and transfers the sheet to a baking tray or pan, or covers and chills it as needed."
rolling_fondant,"Initial state: fondant in a solid block or lump, color uniform (white/ivory or pastel), at room temperature. Surface smooth and matte; consistency firm but pliable, slightly tacky if warmed. Size varies (block or 1–2 lb portion). A beginner unpacks it from packaging, breaks off a chunk, and begins to knead it on a clean, lightly dusted surface to soften before rolling.","During rolling, fondant forms a progressively flat, circular or oval sheet larger than the block. The surface becomes smooth with a subtle satin sheen; color stays uniform, though tiny marbling or specks may appear. Thickness becomes more even, with edges still slightly irregular. The fondant feels pliable and elastic, yielding to gentle pressure without tearing. The person rolls with a pin, rotates the sheet, and dusts lightly with starch to prevent sticking, lifting to check evenness.","End state: a flat sheet of fondant with uniform thickness, smooth surface, clean edges, and pliable yet firm consistency. Color is uniform and fully rolled, with no cracks or air bubbles; size allows easy draping or cutting into decorations. The person finished with rolling fondant might be smoothing the sheet onto a cake with a fondant smoother, trimming edges, and attaching decorations or cutting shapes."
rolling_pastry,"Initial state: a chilled pastry dough in a disk or slab, pale ivory to light beige, with a light dusting of flour on top and at the edges. It feels cool, firm yet pliable, not sticky. Size ranges from palm-sized to a small handful. The baker is starting: placing the dough on a floured board, lightly dusting the top with flour, and giving it gentle taps or presses to bring it into a workable form before rolling begins.","Intermediate rolling state shows a gradually expanding sheet of dough. Surface is pale cream, matte, lightly flour-dusted, with visible rolling-pin impressions. The sheet is thin and pliable, elastic to touch, with a slightly translucent center and thicker, uneven edges. The dough may exhibit subtle color uniformity as it expands. The roller presses downward, rolls, and rotates the dough to even thickness, dusts with flour, and occasionally lifts and repositions to maintain shape; edges become straighter but not perfectly uniform.","End state: a flat, evenly rolled sheet of pastry, uniform thickness across the surface, typically rectangular or round to fit the recipe; color pale cream with a slight sheen, smooth texture, minimal flour dust, straight, clean edges; pliable but not sticky, consistent from edge to edge, ready for filling or shaping. The person finished might be trimming stray edges, placing the sheet into a pan or onto a work surface, chilling it, or brushing with egg wash before baking."
rolling_meatball,"Initial state: A small, loosely packed lump of raw ground meat, about 1.5–2 inches across, pale pink with fat flecks, moist and slightly glossy, texture coarse and unbound. The person starts by cupping a portion in their hands, gathering and gently pressing it, and beginning to roll it between palms.","Mid-roll, the meatball shows a partially formed sphere with irregular contours. Its surface is damp and glossy, with visible flecks of fat and herbs; color ranges from pink to light beige, interior still raw. Size increases as rolling continues, but the form remains asymmetric, with flat spots where it was pressed against the work surface. The texture is tacky and cohesive, with air pockets. The person rotates and compresses the mass with cupped palms, smoothing and re-shaping as needed.","End state: a single, well-formed meatball, compact and smooth, about 1.5–2 inches in diameter. Uniform color—pale pinkish-gray raw inside, with a slightly matte to lightly glossy exterior depending on moisture; no cracks. The person finished rolling might be transferring the ball to a baking sheet or pan, placing it among others, or moving it toward the stove to sauté or simmer."
rolling_clay,"Initial state: a small lump or ball of clay, irregular but compact, palm-sized or smaller. Color matches the material (earthy terracotta, gray, brown, or bright polymer). Surface is slightly damp and cool to the touch; texture is soft yet cohesive, with gentle give under finger pressure. The beginner is likely warming it in both hands, kneading to distribute moisture, and shaping or rotating the lump to test pliability.","Mid-roll, clay forms an elongated sheet or softened cylinder, with thickness uneven where pressure varies. The surface shows linear roll marks, smooth patches, tiny ridges, and occasional air pockets. Color darkens where damp, lightens as moisture dries, with a subtle gloss from slip. Edges may be rounded or tapered. The worker rolls back and forth, rotates the mass, and uses palms or fingers to even surface, pinch edges, and check thickness.","End state: A rolled clay piece appears cohesive and uniform. Shape is a defined form—straight cylinder, long coil, or flat slab—with consistent thickness and a smooth, seamless surface. Color is even across the piece, without stray bits, and the surface is either matte or slightly polished depending on finish. The material is pliable but firm (leather-hard to plastic), not crumbly. The maker might be smoothing edges, trimming, or preparing to stack, join, or sculpt further."
rolling_cake,"Initial state: A cooled, flat sponge sheet—rectangular, large enough to roll (roughly 30–40 cm by 40–50 cm). Color pale golden to light tan; surface matte with tiny air pockets; crumb soft, springy, slightly elastic; thin dusting of flour or parchment residue along the surface. For starting: The baker positions the sheet on parchment, spreads an even filling along one long edge, then begins to lift that edge and roll toward the opposite side, using the parchment to guide.","Intermediates show a flexible, pale-cream cylinder taking shape as the sponge wraps around a visible filling line. The roll's diameter varies along its length; one side bulges with filling, the other tapers. Surfaces are slightly tacky, with a fine flour-dusting and a faint sheen from moisture. Crumbs cling to edges; seams are not yet fully sealed. The baker uses a guiding hand and rolling pin to tighten, straighten edges, and redistribute filling, occasionally lifting to re-center the roll.","End state: a neat, uniform cylinder about 25 cm long and 4–6 cm in diameter, pale golden sponge rolled with a visible spiral of filling. Exterior smooth, sometimes lightly dusted with powdered sugar or glaze. Texture moist, springy, and sliceable with clean edges. The person finished with rolling cake is likely plating portions on a dessert plate or serving."
rolling_bread,"Initial state: Dough portions sit on a lightly floured working surface. They are pale beige and smooth but slightly tacky, shaped as round or oblong balls about 2–3 inches in diameter, with a soft, elastic texture when pressed. The surface may show faint flour dusting. The dough looks unmoved and ready to begin rolling. The person starting will dust the surface and rolling pin with flour, place a dough portion down, and apply gentle, even pressure to begin flattening.","In progress, the dough forms a flat, elongated sheet or cylinder, with taper at the ends. The surface is pale beige, flour-dusted, with a faint sheen and visible roller marks or fine wrinkles where it stretched. Thickness is uneven yet controlled, from sheet-thin to mid-thickness as pressure is applied. It feels pliable, elastic, and tacky but not sticky; when pressed it rebounds. The handler uses a rolling pin to rotate and re-dust, nudging edges to even thickness and smoothness.","End state: A uniform, cylindrical dough log about 25–30 cm long and 6–8 cm in diameter, with a smooth, lightly floured surface. Color pale beige; pliable, tacky but not sticky; ends rounded; seam along the bottom where edges were joined. The person finished with rolling might place it seam-side down into a loaf pan or proofing basket and cover to rise."
rolling_pasta,"Initial state: a pale, flour-dusted dough ball resting on a floured counter. Size roughly palm-sized, about 2–3 inches in diameter (5–8 cm). Color pale yellow-beige from semolina/flour. Texture soft, elastic, and slightly tacky but not sticky; surface may show small cracks as it rests. The rolling process hasn’t begun; a wooden rolling pin sits nearby, hands poised to press and flatten to start rolling.","Intermediates show a long, pliable sheet or ribbon with uneven edges. Shape: rectangular but irregular near the ends; width depends on roller setting. Size: length longer than the sheet; thickness gradually thins with passes. Color: pale tan from flour, with translucent bands where thinner. Consistency: tacky, elastic, and slightly crack-prone if over-stretched; surface may be matte with fine roller lines and a light flour dusting. The person feeds dough through rollers, guiding and tensioning as they roll.","End state: flat, uniform sheets of pasta dough with even thickness, pale yellow color, smooth surface, straight edges, and light flour dusting; pliable but not sticky. Ready for cutting or filling. The person might now slice them into lasagna sheets or ribbons (fettuccine, tagliatelle), trim edges, or lay sheets to dry before shaping or cooking."
rolling_tortilla,"Initial state: A portion of dough rests on a lightly floured surface, forming a circular disk. Color: pale beige to off-white (wheat) or yellowish (corn). Texture: soft, pliable, slightly tacky; surface matte with a subtle sheen. Size about 14–18 cm diameter, thickness about 2–3 mm; edges uneven. The person is centering the disk and starting to flatten it with hands or a rolling pin, applying gentle, outward pressure to begin shaping.","Intermediate state: dough stretched into a mostly circular/oval disc, about 6–9 inches in diameter, with a thinner center and a slightly thicker edge. Color pale beige from flour, surface lightly dusted, possibly translucent in very thin spots. Texture is pliable, tacky yet elastic, with faint pinches or creases from rolling. The practitioner rotates the disc, applies even pressure with the rolling pin, re-dusts as needed, and occasionally lifts to check thickness and adjust edges.","End state: a snug cylindrical tortilla roll, about 6–8 inches long and 1–2 inches in diameter, with an even smooth surface. Light golden-brown color with occasional toasty specks; the roll holds its shape, edges tucked, seam along the outside. If filled, filling may show at the ends. The person may slice into coins, plate whole, or wrap/refrigerate for storage."
rolling_sausage,"Initial state: loose, cohesive raw ground-meat mixture with white fat flecks, pink-red color, damp and tacky to the touch; not yet formed. On a work surface, a person scoops a hand-sized portion and lightly pats or presses it into a rough log or rectangle, preparing to roll or wrap, with edges irregular and mass spread.","During rolling, the sausage is an elongated, slightly curved log with irregular cross-sections; diameter varies along its length. Surface is moist and glossy from fat and juices; color ranges from pale pink to light brown where heat has begun; exterior may show faint browning with a slight crackle. Interior remains pliable yet firmer than raw, as fat renders. The handler is nudging, rotating, and pressing to even thickness and prevent sticking and air pockets.","End state: neatly formed sausages in uniform, cylindrical links or a continuous log, with taut, smooth casing. Color ranges from pale pink to pink-brown, depending on meat and curing; surface sheen from fat; uniform diameter; no gaps or air pockets; final texture firm yet springy, with a cohesive crumb when cut. The producer is trimming ends, tying links (if linked), and moving the sausages to a rack, smoker, or tray for cooking, curing, or packaging."
