verb,first_frame_diff,total_intersection,total_union,accuracy_2,accuracy_all,recall,precision,f1_0,f1_1,f1_2,f1_macro,f1_micro
rolling,15,19,34,0.625,0.55,0.5588235259056091,1.0,0.0,0.25,0.7169811129570007,0.32232704758644104,0.550000011920929
rolling,5,10,23,0.675000011920929,0.55,0.6666666865348816,0.5555555820465088,0.0,0.7058823704719543,0.6060606241226196,0.43731436133384705,0.550000011920929
squeezing,10,8,18,0.75,0.5,1.0,0.4444444477558136,0.1666666716337204,0.523809552192688,0.6153846383094788,0.4352869689464569,0.5
squeezing,1,18,19,0.9750000238418579,0.725,0.9473684430122375,1.0,0.6153846383094788,0.3529411852359772,0.9729729890823364,0.6470996141433716,0.7250000238418579
mashing,19,0,19,0.5249999761581421,0.325,0.0,0.0,0.3529411852359772,0.5185185074806213,0.0,0.29048657417297363,0.32499998807907104
mashing,17,2,19,0.574999988079071,0.525,1.0,0.10526315867900848,0.8333333134651184,0.5957446694374084,0.190476194024086,0.5398513674736023,0.5249999761581421
roasting,5,13,18,0.875,0.625,1.0,0.7222222089767456,0.0,0.6315789222717285,0.8387096524238586,0.49009618163108826,0.625
roasting,16,0,16,0.6000000238418579,0.375,0.0,0.0,0.0,0.5454545617103577,0.0,0.1818181872367859,0.375
peeling,30,0,30,0.4117647111415863,0.27450980392156865,0.0,0.0,0.0,0.4307692348957062,0.0,0.14358974993228912,0.27450981736183167
peeling,7,11,18,0.824999988079071,0.65,1.0,0.6111111044883728,0.6666666865348816,0.5333333611488342,0.7586206793785095,0.6528735756874084,0.6499999761581421
chopping,3,1,21,0.5,0.275,0.25,0.0555555559694767,0.380952388048172,0.25,0.09090909361839294,0.24062049388885498,0.2750000059604645
chopping,1,1,19,0.550000011920929,0.3,0.5,0.0555555559694767,0.3414634168148041,0.42105263471603394,0.10000000149011612,0.2875053584575653,0.30000001192092896
peeling,10,2,18,0.6000000238418579,0.325,1.0,0.1111111119389534,0.42553192377090454,0.1538461595773697,0.20000000298023224,0.259792685508728,0.32499998807907104
peeling,3,2,18,0.6000000238418579,0.5,1.0,0.1111111119389534,0.4848484992980957,0.7407407164573669,0.20000000298023224,0.4751964509487152,0.5
peeling,19,0,19,0.5249999761581421,0.15,0.0,0.0,0.375,0.0,0.0,0.125,0.15000000596046448
peeling,11,19,30,0.7250000238418579,0.6,0.6333333253860474,1.0,0.0,0.38461539149284363,0.7755101919174194,0.386708527803421,0.6000000238418579
