metric,known,novel,all
first_frame_diff,9.288,9.862068965517242,9.35814606741573
iou,0.4187254685524503,0.3787496168310126,0.4136345980827057
accuracy_2,0.726740835762024,0.7238597030612244,0.7263887872438083
accuracy_all,0.5206552334632727,0.4779848263349984,0.515441293266419
recall,0.5164692350029946,0.47960833502911976,0.5119651643601194
precision,0.31025166668593884,0.2837070085793391,0.30700814806898075
f1_0,0.3757413845717907,0.3289596768117499,0.3700250803932464
f1_1,0.5413150654315948,0.5027008036087299,0.5365967497313291
f1_2,0.3497696589589119,0.32973860152836504,0.34732204379534787
f1_macro,0.4222753687918186,0.38713302852949877,0.41798129069796774
f1_micro,0.5206552322715521,0.47798482457111624,0.5154412920047854
prec_0,0.5841891176462174,0.5571403702100118,0.5808840038443215
prec_1,0.6035688214600087,0.5902395340903052,0.6019401023572499
prec_2,0.31025166668593884,0.2837070085793391,0.30700814806898075
prec_avg,0.4993365366190672,0.47702897284394025,0.49661075284317385
prec_micro,0.5206552322715521,0.47798482457111624,0.5154412920047854
total_iou,0.33000839004381466,0.0,0.3286535303776683
